0,180,CC(=O)C
1,240,C1=CC=C(C=C1)C=O
2,263,CCCCO
3,273,C(CCN)CCN
4,335,CC1=CC=CC=C1O
5,342,CC1=CC(=CC=C1)O
6,454,CCCCCCCC=O
7,650,CC(=O)C(=O)C
8,702,CCO
9,798,C1=CC=C2C(=C1)C=CN2
